,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
1356,1503620175,1503620203,291,8947080037000370246,28,10.388357877731325,24202,24202,0,0,0,0,0,1,0,,,,-81,-79,-80.0,0,4,15431.063997
1357,1499775437,1499775471,291,8947080037000370246,34,12.945834398269653,24202,24202,0,0,0,0,0,0,0,,,,-72,-72,-72.0,12,1,3281.1073079999996
1359,1499991439,1499991465,291,8947080037000370246,26,10.79442811012268,24202,24202,0,0,0,0,0,0,0,-97.0,-97.0,-97.0,-67,-67,-67.0,0,4,37439.027917
1360,1507155268,1507155303,291,8947080037000370246,35,11.683771133422852,24202,24202,0,0,0,0,0,2,0,,,,-71,-54,-68.0,22,2,5568.565105
