,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
1031,1506809591,1506809635,290,89470000160204125984,44,10.14933443069458,24201,24201,0,0,0,0,0,1,0,-112.0,-112.0,-112.0,-84,-80,-82.0,22,5,14149.643575999999
1032,1503058575,1503058637,290,89470000160204125984,62,17.50878930091858,24201,24201,0,0,0,0,4,3,0,-125.0,-104.0,-116.0,-77,0,-76.0,12,4,1162.0230080000001
1034,1504281738,1504281771,290,89470000160204125984,33,12.565087080001831,24201,24201,0,0,0,0,0,0,0,-103.0,-103.0,-103.0,-73,-73,-73.0,16,4,4891.2462829999995
1041,1499343434,1499343464,290,89470000160204125984,30,11.368460655212402,24201,24201,1,0,0,0,3,3,0,-89.0,-77.0,-85.0,-62,-52,-60.0,12,3,13521.70484
1042,1520053329,1520053355,290,89470000160204125984,26,10.201903343200684,24201,24201,0,0,0,0,0,0,0,-89.0,-89.0,-89.0,-62,-62,-62.0,5,5,37226.44163529892
1048,1516464067,1516464095,290,89470000160204125984,28,11.639670610427856,24201,24201,0,0,0,0,0,1,0,-89.0,-89.0,-89.0,-65,-61,-63.0,16,5,16154.8482474975
1118,1514420166,1514420196,290,89470000160204125984,30,11.14306116104126,24201,24201,0,0,0,0,1,2,0,-101.0,-92.0,-92.0,-73,-66,-72.0,0,3,10123.07887105702
1119,1501114636,1501114679,290,89470000160204125984,43,13.439631938934324,24201,24201,0,0,0,0,2,2,0,-103.0,-100.0,-102.5,-74,-69,-71.0,0,3,6169.981492
1125,1516960868,1516960906,290,89470000160204125984,38,15.262529850006105,24201,24201,0,0,0,0,0,0,0,-104.0,-104.0,-104.0,-72,-72,-72.0,10,4,3131.5007493202647
1126,1507090391,1507090419,290,89470000160204125984,28,10.349573373794557,24201,24201,0,0,0,0,0,0,0,-95.0,-95.0,-95.0,-67,-67,-67.0,4,2,48550.468537
1127,1505858540,1505858568,290,89470000160204125984,28,10.937612295150757,24201,24201,0,0,0,0,2,0,0,-104.0,-93.0,-95.0,-68,-68,-68.0,22,1,6957.708688
1128,1502972170,1502972213,290,89470000160204125984,43,20.66405987739563,24201,24201,0,0,0,0,3,2,0,-99.0,-94.0,-96.0,-72,-67,-67.0,12,3,4535.396082
1141,1502691370,1502691405,290,89470000160204125984,35,13.038089275360107,24201,24201,0,0,0,0,1,1,0,-84.0,-83.0,-83.5,-61,-56,-58.5,6,0,11309.473720999998
1142,1502043374,1502043410,290,89470000160204125984,36,15.818126440048218,24201,24201,0,0,0,0,0,0,0,-104.0,-104.0,-104.0,-73,-73,-73.0,18,6,3046.257094
1145,1503144981,1503145041,290,89470000160204125984,60,13.975728988647461,24201,24201,0,0,0,0,3,0,0,-106.0,-103.0,-104.5,-74,-74,-74.0,12,5,3060.63693
1156,1499969844,1499969893,290,89470000160204125984,49,13.951456308364868,24201,24201,0,0,0,0,0,0,0,-95.0,-95.0,-95.0,-68,-68,-68.0,18,3,7765.862258
1158,1500077830,1500077881,290,89470000160204125984,51,18.459782600402832,24201,24201,0,0,0,0,0,4,0,,,,-99,-92,-94.0,0,5,555.350417
1161,1515967268,1515967293,290,89470000160204125984,25,10.250947952270508,24201,24201,0,0,0,0,0,0,0,-87.0,-87.0,-87.0,-61,-61,-61.0,22,6,22487.62962985584
1337,1508624044,1508624074,291,89470000160204126206,30,13.535770654678345,24201,24201,0,0,0,0,0,1,0,-99.0,-99.0,-99.0,-69,-67,-68.0,22,5,7502.366530029479
1352,1503252982,1503253038,291,8947080037000370246,56,13.156153917312622,24202,24202,0,0,0,0,1,1,0,-112.0,-103.0,-107.5,-80,-76,-78.0,18,6,8977.680282
1380,1500185838,1500185865,291,8947080037000370246,27,10.258781433105467,24202,24202,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-62,-62,-62.0,6,6,34250.225893
1381,1499559438,1499559465,291,8947080037000370246,27,10.504237890243528,24202,24202,0,0,0,0,0,1,0,-103.0,-103.0,-103.0,-76,-72,-74.0,0,6,16854.631981
1439,1504864934,1504864964,291,8947080037000370246,30,12.58186960220337,24202,24202,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-67,-65,-66.0,10,4,8753.040049
1459,1499710637,1499710664,291,8947080037000370246,27,10.809688329696655,24202,24202,0,0,0,0,1,1,0,-79.0,-78.0,-78.5,-56,-52,-54.0,18,0,43976.571955
1500,1511417779,1511417817,291,8947080037000370246,38,12.921030759811401,24202,24202,3,0,0,0,0,1,0,,,,-68,-66,-68.0,6,3,5473.511948498879
1508,1503555375,1503555401,291,8947080037000370246,26,10.551942348480225,24202,24202,0,0,0,0,0,2,0,-83.0,-83.0,-83.0,-55,-52,-52.0,6,3,70216.74453
1644,1499581089,1499581123,292,89470000160204126024,34,12.239492654800415,24201,24201,0,0,0,0,0,0,0,-100.0,-100.0,-100.0,-72,-72,-72.0,6,6,7522.355570999999
1645,1506549786,1506549821,292,89470000160204126024,35,12.436605453491213,24201,24201,0,0,0,0,1,1,0,-111.0,-110.0,-110.5,-81,-79,-80.0,22,2,19150.994769999998
1646,1499667496,1499667532,292,89470000160204126024,36,15.531055688858032,24201,24201,1,0,0,0,3,1,0,-103.0,-101.0,-102.0,-74,-66,-74.0,6,0,6636.3978560000005
1647,1516442473,1516442507,292,89470000160204126024,34,10.335223436355589,24201,24201,0,0,0,0,0,1,0,-102.0,-102.0,-102.0,-75,-71,-73.0,10,5,33776.66906428229
1648,1503188272,1503188319,292,89470000160204126024,47,14.803521156311035,24201,24201,0,0,0,0,0,1,0,-105.0,-105.0,-105.0,-78,-75,-76.5,0,6,4782.983168
1651,1517612530,1517612559,292,89470000160204126024,29,11.357060432434082,24201,24201,0,0,0,0,0,0,0,-91.0,-91.0,-91.0,-64,-64,-64.0,23,4,14170.310339542195
1652,1499602687,1499602725,292,89470000160204126024,38,13.524784088134766,24201,24201,0,0,0,0,1,1,0,-100.0,-99.0,-99.5,-74,-70,-72.0,12,6,4124.9386
1653,1504346604,1504346634,292,89470000160204126024,30,11.316813468933105,24201,24201,0,0,0,0,1,1,0,-111.0,-110.0,-110.5,-82,-80,-81.0,10,5,20239.958829
1656,1500898694,1500898731,292,89470000160204126024,37,14.642355918884276,24201,24201,2,0,0,0,3,3,0,-91.0,-74.0,-86.0,-64,-48,-62.0,12,0,10138.279951
1657,1499365101,1499365142,292,89470000160204126024,41,16.673054695129395,24201,24201,0,0,0,0,0,0,0,-101.0,-101.0,-101.0,-72,-72,-72.0,18,3,4217.609848
1660,1516917667,1516917706,292,89470000160204126024,39,10.477935314178467,24201,24201,0,0,0,0,1,1,0,-114.0,-113.0,-113.0,-82,-80,-82.0,22,3,18936.123658158336
1661,1516658519,1516658560,292,89470000160204126024,41,10.381491661071776,24201,24201,0,0,0,0,0,2,0,-111.0,-111.0,-111.0,-79,-77,-79.0,22,0,20837.22141461466
1662,1516485669,1516485705,292,89470000160204126024,36,10.40387725830078,24201,24201,0,0,0,0,0,2,0,-106.0,-106.0,-106.0,-78,-74,-75.0,22,5,21847.213507339577
1664,1503447437,1503447466,292,89470000160204126024,29,12.57283878326416,24201,24201,0,0,0,0,0,2,0,-93.0,-93.0,-93.0,-66,-64,-66.0,0,2,13964.391765999999
1665,1501265938,1501265979,292,89470000160204126024,41,11.83942198753357,24201,24201,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-70,-70,-70.0,18,4,12588.986993999999
1666,1515708132,1515708157,292,89470000160204126024,25,10.25732946395874,24201,24201,0,0,0,0,2,2,0,-96.0,-82.0,-87.0,-64,-53,-55.0,22,3,112029.61101821244
1674,1499257095,1499257124,292,89470000160204126024,29,11.72776484489441,24201,24201,0,0,0,0,1,0,0,-94.0,-93.0,-94.0,-66,-66,-66.0,12,2,17370.673035
1675,1500747507,1500747545,292,89470000160204126024,38,12.376001358032227,24201,24201,0,0,0,0,2,1,0,-105.0,-102.0,-103.0,-77,-75,-75.0,18,5,9515.734522
1680,1506809652,1506809694,292,89470000160204126024,42,11.283111095428467,24201,24201,0,0,0,0,1,1,0,-115.0,-114.0,-114.0,-85,-83,-85.0,22,5,26195.517065
1681,1503620182,1503620228,292,89470000160204126024,46,11.562108993530273,24201,24201,0,0,0,0,0,1,0,-95.0,-95.0,-95.0,-69,-67,-68.0,0,4,13511.95993
1682,1510985766,1510985796,292,89470000160204126024,30,12.562856912612915,24201,24201,0,0,0,0,1,0,0,-91.0,-90.0,-91.0,-62,-62,-62.0,6,5,11213.089644977163
1683,1499429899,1499429943,292,89470000160204126024,44,11.09819507598877,24201,24201,0,0,0,0,1,1,0,-105.0,-104.0,-104.5,-76,-74,-75.0,12,4,19941.728961
1690,1500769092,1500769130,292,89470000160204126024,38,12.575021982192993,24201,24201,0,0,0,0,0,0,0,-102.0,-102.0,-102.0,-73,-73,-73.0,0,6,9506.823288
1747,1500509867,1500509904,292,8947080037000370238,37,11.410627126693726,24202,24202,0,0,0,0,0,0,0,,,,-71,-71,-71.0,0,3,18287.206624000002
1748,1504713733,1504713781,292,8947080037000370238,48,10.508287906646727,24202,24202,0,0,0,0,0,0,0,,,,-82,-82,-82.0,16,2,13372.590651999999
1749,1503490576,1503490613,292,8947080037000370238,37,12.709344387054445,24202,24202,0,0,0,0,0,1,0,,,,-73,-67,-73.0,12,2,3404.7251380000002
1750,1501244239,1501244282,292,8947080037000370238,43,15.087069034576414,24202,24202,1,0,0,0,0,3,0,,,,-83,-69,-79.0,12,4,10409.288672
1867,1500207438,1500207510,292,8947080037000370238,72,20.027552843093872,24202,24202,0,0,0,0,0,2,0,,,,-80,-70,-73.0,12,6,1475.914716
1871,1502453777,1502453802,292,8947080037000370238,25,10.313165426254274,24202,24202,0,0,0,0,0,2,0,-74.0,-74.0,-74.0,-48,-44,-46.0,12,4,70601.327462
1872,1499667437,1499667465,292,8947080037000370238,28,10.21977424621582,24202,24202,0,0,0,0,0,1,0,-91.0,-91.0,-91.0,-62,-60,-60.0,6,0,35263.373698
1878,1508019199,1508019226,292,8947080037000370238,27,10.795473098754883,24202,24202,0,0,0,0,1,0,0,-95.0,-94.0,-94.5,-64,-64,-64.0,22,5,31748.780037891138
1881,1499451436,1499451499,292,8947080037000370238,63,12.851810932159426,24202,24202,0,0,0,0,0,0,0,-96.0,-96.0,-96.0,-66,-66,-66.0,18,4,2772.505175
1882,1500142634,1500142670,292,8947080037000370238,36,11.47824501991272,24202,24202,0,0,0,0,0,0,0,,,,-78,-78,-78.0,18,5,12956.216172
1883,1516572067,1516572100,292,8947080037000370238,33,10.385797262191774,24202,24202,0,0,0,0,0,0,0,,,,-75,-75,-75.0,22,6,10279.951928859173
1884,1499343435,1499343465,292,8947080037000370238,30,12.26797866821289,24202,24202,0,0,0,0,0,0,0,-95.0,-95.0,-95.0,-66,-66,-66.0,12,3,7457.495814
1892,1516226513,1516226544,292,8947080037000370238,31,10.876668930053713,24202,24202,0,0,0,0,0,1,0,,,,-78,-76,-78.0,22,2,14688.397719209399
1893,1504324938,1504324972,292,8947080037000370238,34,11.396681547164915,24202,24202,0,0,0,0,0,0,0,,,,-66,-66,-66.0,4,5,11423.956214
1920,1505340142,1505340169,296,89470000160204126305,27,10.28791093826294,24201,24201,0,0,0,0,0,0,0,-94.0,-94.0,-94.0,-64,-64,-64.0,22,2,76806.566321
1921,1502929038,1502929081,296,89470000160204126305,43,10.420953750610352,24201,24201,0,0,0,0,0,0,0,-113.0,-113.0,-113.0,-83,-83,-83.0,0,3,17553.247977000003
1937,1504562537,1504562571,296,89470000160204126305,34,12.941291093826294,24201,24201,0,0,0,0,0,0,0,-106.0,-106.0,-106.0,-76,-76,-76.0,22,0,3953.0509899999997
1938,1516507335,1516507366,296,89470000160204126305,31,13.07274293899536,24201,24201,0,0,0,0,0,1,0,-109.0,-109.0,-109.0,-78,-77,-77.5,4,6,3293.222258750559
1939,1499797118,1499797156,296,89470000160204126305,38,14.247568845748901,24201,24201,0,0,0,0,0,0,0,-107.0,-107.0,-107.0,-79,-79,-79.0,18,1,6102.3312
1940,1506939321,1506939348,296,89470000160204126305,27,11.231961250305176,24201,24201,0,0,0,0,0,0,0,-95.0,-95.0,-95.0,-69,-69,-69.0,10,0,23368.054259
1950,1501719463,1501719506,296,89470000160204126305,43,14.271146297454836,24201,24201,0,0,0,0,0,1,0,-109.0,-109.0,-109.0,-80,-76,-78.0,0,3,4957.993897
1951,1510985780,1510985819,296,89470000160204126305,39,10.984832525253296,24201,24201,0,0,0,0,1,1,0,-103.0,-102.0,-102.5,-75,-71,-73.0,6,5,71345.33194561709
