,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
341,1502691424,1502691451,254,89470000160204126347,27,10.547286748886107,24201,24201,0,0,0,0,0,0,0,-95.0,-95.0,-95.0,-64,-64,-64.0,6,0,16104.312288
342,1502928978,1502929006,254,89470000160204126347,28,11.15236783027649,24201,24201,0,0,0,0,0,0,0,-86.0,-86.0,-86.0,-60,-60,-60.0,0,3,30207.322874
483,1501157835,1501157874,254,8947080037000370295,39,13.613448858261108,24202,24202,0,0,0,0,2,1,0,-113.0,-111.0,-112.0,-84,-82,-82.0,12,3,1728.296219
1467,1500769113,1500769146,291,8947080037000370246,33,11.38213849067688,24202,24202,0,0,0,0,0,0,0,,,,-75,-75,-75.0,0,6,13521.243222
1468,1516572070,1516572098,291,8947080037000370246,28,10.239547729492188,24202,24202,0,0,0,0,0,0,0,-97.0,-97.0,-97.0,-70,-70,-70.0,22,6,15702.791192105049
1503,1501805811,1501805850,291,8947080037000370246,39,11.790839672088625,24202,24202,0,0,0,0,0,0,0,,,,-76,-76,-76.0,0,4,9787.775270999999
1504,1500747513,1500747544,291,8947080037000370246,31,10.948354482650757,24202,24202,0,0,0,0,0,0,0,,,,-71,-71,-71.0,18,5,24658.897718
1865,1510985721,1510985747,292,8947080037000370238,26,10.503257274627686,24202,24202,0,0,0,0,0,0,0,-83.0,-83.0,-83.0,-57,-57,-57.0,6,5,36895.42323515908
1866,1515967319,1515967345,292,8947080037000370238,26,10.476571321487429,24202,24202,0,0,0,0,0,1,0,-105.0,-105.0,-105.0,-76,-73,-76.0,22,6,18848.88326540581
