,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
8679,1505222906,1505222935,566,89470000160905522414,29,10.692111253738405,24201,24201,0,0,0,0,0,1,0,-110.0,-110.0,-110.0,-81,-79,-79.0,13,1,34305.614805000005
8776,1506605173,1506605208,567,89470715000001455380,35,10.894589185714722,24214,24214,0,0,0,0,0,1,0,-110.0,-110.0,-110.0,-82,-77,-79.5,13,3,9065.200928
8782,1506432379,1506432412,567,89470715000001455380,33,10.805060625076294,24214,24214,0,0,0,0,0,0,0,-109.0,-109.0,-109.0,-77,-77,-77.0,13,1,15040.48267
8798,1506518775,1506518802,567,89470715000001455380,27,10.663879871368408,24214,24214,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-70,-70,-70.0,13,2,10927.879363
8800,1506777973,1506778010,567,89470715000001455380,37,11.358278274536133,24214,24214,0,0,0,0,0,1,0,-104.0,-104.0,-104.0,-80,-74,-77.0,13,5,2969.85718
8841,1506432378,1506432407,568,89470000160204125745,29,13.014470338821411,24201,24201,0,0,0,0,0,0,0,-112.0,-112.0,-112.0,-79,-79,-79.0,13,1,8177.873168000001
8843,1506778041,1506778073,568,89470000160204125745,32,10.91671633720398,24201,24201,0,0,0,0,0,0,0,-112.0,-112.0,-112.0,-78,-78,-78.0,13,5,15533.193072999999
8846,1504963574,1504963606,568,89470000160204125745,32,10.565631151199339,24201,24201,0,0,0,0,1,1,0,-96.0,-95.0,-95.5,-70,-67,-68.5,13,5,9069.882492
8945,1506432433,1506432466,568,8947080038000121878,33,11.007211208343506,24202,24202,0,0,0,0,0,0,0,-87.0,-87.0,-87.0,-59,-59,-59.0,13,1,16536.496705
8958,1506605177,1506605207,568,8947080038000121878,30,11.978731155395508,24202,24202,0,0,0,0,0,2,0,-86.0,-86.0,-86.0,-57,-55,-57.0,13,3,7859.702554
8969,1506777980,1506778012,568,8947080038000121878,32,13.850631952285767,24202,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-58,-56,-57.0,13,5,5812.434846
8975,1506518778,1506518811,568,8947080038000121878,33,14.166762828826904,24202,24202,0,0,0,0,0,1,0,-89.0,-89.0,-89.0,-58,-56,-56.0,13,2,4721.715532
9024,1504963630,1504963662,568,8947080038000121878,32,14.355727672576904,24202,24202,0,0,0,0,0,0,0,-82.0,-82.0,-82.0,-55,-55,-55.0,13,5,6860.068284999999
9073,1506518773,1506518804,569,89470715000001455638,31,10.92264175415039,24214,24214,0,0,0,0,0,1,0,-96.0,-96.0,-96.0,-71,-66,-68.5,13,2,13028.090037
9083,1506777972,1506778010,569,89470715000001455638,38,11.572256565093994,24214,24214,0,0,0,0,0,1,0,-100.0,-100.0,-100.0,-75,-70,-72.5,13,5,2507.938884
9084,1506432373,1506432400,569,89470715000001455638,27,10.915989637374878,24214,24214,0,0,0,0,0,1,0,-96.0,-96.0,-96.0,-71,-66,-66.0,13,1,23009.150503999997
9091,1506605173,1506605201,569,89470715000001455638,28,10.897733926773071,24214,24214,0,0,0,0,0,1,0,-96.0,-96.0,-96.0,-71,-66,-68.5,13,3,19305.200109999998
