,nodeid,iccid_x,res_time_start_s,res_time_end_s,gps_lat,gps_long,gps_speed,res_dl_throughput_kbps,res_ul_throughput_kbps,res_rtt_tcp_payload_client_ns,res_rtt_tcp_payload_server_ns,apu,route_id,segment_id,segment_lat,segment_long,route_desc,ts_start,ts_end,iccid_y,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
15,456,8947080038000093127,1501827375.0,1501827410.0,59.953741,11.056567,52.9672,9345.10885,3299.2654350000003,76680308,75912425,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1501827375,1501827410,8947080038000093127,35,11.919153213500975,24202,24202,0,0,0,0,3,1,0,-118.0,-96.0,-101.5,-90,-69,-69.0,6,4,9345.10885
16,456,89470000160204125521,1501827435.0,1501827479.0,59.94716999999999,11.084535,105.3788,2235.9541280000003,1080.7864960000002,62979072,88053878,2,4,449,59.9461270811855,11.0891907057391,Oslo - Roros - Storen,1501827435,1501827479,89470000160204125521,44,15.72689151763916,24201,24201,1,0,0,0,1,1,0,-117.0,-112.0,-114.5,-87,-82,-87.0,6,4,2235.9541280000003
17,456,8947080038000093127,1501848977.0,1501849009.0,59.953281000000004,11.058835,71.1168,11179.609585,3185.367736,79074437,79591961,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1501848977,1501849009,8947080038000093127,32,10.851898193359377,24202,24202,1,0,0,0,2,2,0,-113.0,-105.0,-112.0,-85,-79,-83.5,12,4,11179.609585
18,456,89470000160204125521,1501849032.0,1501849098.0,59.946247,11.088637,114.824,8225.197087999999,6147.491551,46107075,49066407,2,4,449,59.9461270811855,11.0891907057391,Oslo - Roros - Storen,1501849032,1501849098,89470000160204125521,66,30.17401242256165,24201,24201,5,0,0,0,5,4,0,-117.0,-108.0,-111.5,-85,-79,-81.5,12,4,8225.197087999999
19,456,8947080038000093127,1502172975.0,1502173002.0,59.948361,11.079706,99.8228,29686.393893,13745.945108000002,40979243,41993474,2,4,450,59.949967949668796,11.0729511831393,Oslo - Roros - Storen,1502172975,1502173002,8947080038000093127,27,10.152230978012083,24202,24202,0,0,0,0,2,2,0,-96.0,-87.0,-88.0,-68,-56,-63.0,6,1,29686.393893
20,456,89470000160204125521,1502173023.0,1502173053.0,59.953658999999995,11.057319999999999,50.3744,18073.986521000003,14670.103266999999,58710610,80124590,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1502173023,1502173053,89470000160204125521,30,11.944213390350342,24201,24201,1,0,0,0,2,2,0,-96.0,-93.0,-94.0,-69,-65,-66.0,6,1,18073.986521000003
21,456,8947080038000093127,1502345775.0,1502345803.0,59.953917000000004,11.056077,50.1892,9097.399124,10486.127346,66597557,49980782,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1502345775,1502345803,8947080038000093127,28,10.511992454528807,24202,24202,1,0,0,0,2,1,0,-116.0,-110.0,-113.0,-95,-80,-80.0,6,3,9097.399124
22,456,89470000160204125521,1502345823.0,1502345853.0,59.953593000000005,11.046914,40.0032,33145.285357,12506.523678,49116420,40561094,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1502345823,1502345853,89470000160204125521,30,11.579976558685305,24201,24201,0,0,0,0,3,2,0,-91.0,-73.0,-82.0,-59,-48,-51.5,6,3,33145.285357
23,456,89470000160204125521,1502821031.0,1502821093.0,60.203109999999995,11.86322,32.7804,1650.0714480000001,87.30475200000001,66374776,182061804,2,4,383,60.2041640432396,11.861478517391902,Oslo - Roros - Storen,1502821031,1502821093,89470000160204125521,62,17.477105140686035,24201,24201,0,0,0,0,0,1,0,-117.0,-117.0,-117.0,-87,-85,-87.0,18,1,1650.0714480000001
24,456,89470000160204125521,1502907442.0,1502907486.0,60.038341,11.350481,50.7448,5440.119559000001,1191.882491,65858980,61748621,2,4,426,60.040427924538704,11.3536170386606,Oslo - Roros - Storen,1502907442,1502907486,89470000160204125521,44,18.572909355163574,24201,24201,2,0,0,0,3,3,0,-116.0,-105.0,-107.0,-86,-76,-79.0,18,2,5440.119559000001
